Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
1,12/15/2014 01:40:00 AM,0013a20040b516ed,1,505,23.2,23.2,23.2,93.5,93.5,93.5,48.3,48.3,48.3,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141215014000,,1
6,12/15/2014 01:55:00 AM,0013a20040b516ed,1,505,23.2,23.2,23.2,93.5,93.5,93.5,47.0,47.0,47.0,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141215015500,,1
290,12/16/2014 03:10:00 AM,0013a20040b516ed,1,505,33.5,33.5,33.5,97.4,97.4,97.4,14.9,14.9,14.9,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216031000,,1
299,12/16/2014 03:35:00 AM,0013a20040b516ed,1,505,31.3,31.3,31.3,91.5,91.5,91.5,13.9,13.9,13.9,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216033500,,1
306,12/16/2014 03:45:00 AM,0013a20040b516ed,1,505,31.6,31.6,31.6,97.5,97.5,97.5,13.5,13.5,13.5,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216034500,,1
324,12/16/2014 04:35:00 AM,0013a20040b516ed,1,505,31.3,31.3,31.3,91.6,91.6,91.6,12.8,12.8,12.8,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216043500,,1
332,12/16/2014 04:45:00 AM,0013a20040b516ed,1,505,30.6,30.6,30.6,88.5,88.5,88.5,15.0,15.0,15.0,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216044500,,1
339,12/16/2014 04:55:00 AM,0013a20040b516ed,1,505,30.0,30.0,30.0,87.5,87.5,87.5,14.6,14.6,14.6,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216045500,,1
345,12/16/2014 05:05:00 AM,0013a20040b516ed,1,505,30.0,30.0,30.0,90.6,90.6,90.6,12.5,12.5,12.5,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216050500,,1
352,12/16/2014 05:15:00 AM,0013a20040b516ed,1,505,29.7,29.7,29.7,87.4,87.4,87.4,11.4,11.4,11.4,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141216051500,,1
