Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
4,12/15/2014 01:45:00 AM,0013a20040b315ec,1,501,22.9,22.9,22.9,97.4,97.4,97.4,43.1,43.1,43.1,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141215014500,,1
9,12/15/2014 02:00:00 AM,0013a20040b315ec,1,501,23.5,23.5,23.5,97.4,97.4,97.4,43.7,43.7,43.7,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141215020000,,1
293,12/16/2014 03:15:00 AM,0013a20040b315ec,1,501,31.0,31.0,31.0,94.8,94.8,94.8,10.8,10.8,10.8,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216031500,,1
302,12/16/2014 03:40:00 AM,0013a20040b315ec,1,501,31.3,31.3,31.3,96.0,96.0,96.0,12.0,12.0,12.0,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216034000,,1
327,12/16/2014 04:40:00 AM,0013a20040b315ec,1,501,30.3,30.3,30.3,95.5,95.5,95.5,11.4,11.4,11.4,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216044000,,1
335,12/16/2014 04:50:00 AM,0013a20040b315ec,1,501,29.4,29.4,29.4,95.1,95.1,95.1,11.4,11.4,11.4,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216045000,,1
342,12/16/2014 05:00:00 AM,0013a20040b315ec,1,501,29.0,29.0,29.0,93.2,93.2,93.2,10.8,10.8,10.8,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216050000,,1
348,12/16/2014 05:10:00 AM,0013a20040b315ec,1,501,29.0,29.0,29.0,93.9,93.9,93.9,10.5,10.5,10.5,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216051000,,1
354,12/16/2014 05:20:00 AM,0013a20040b315ec,1,501,28.1,28.1,28.1,93.6,93.6,93.6,15.2,15.2,15.2,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216052000,,1
362,12/16/2014 05:30:00 AM,0013a20040b315ec,1,501,28.1,28.1,28.1,91.8,91.8,91.8,11.4,11.4,11.4,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216053000,,1
370,12/16/2014 05:40:00 AM,0013a20040b315ec,1,501,23.5,23.5,23.5,92.5,92.5,92.5,28.4,28.4,28.4,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216054000,,1
377,12/16/2014 05:50:00 AM,0013a20040b315ec,1,501,21.6,21.6,21.6,94.3,94.3,94.3,37.6,37.6,37.6,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216055000,,1
385,12/16/2014 06:00:00 AM,0013a20040b315ec,1,501,22.6,22.6,22.6,95.5,95.5,95.5,37.3,37.3,37.3,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216060000,,1
392,12/16/2014 06:10:00 AM,0013a20040b315ec,1,501,21.0,21.0,21.0,95.4,95.4,95.4,39.5,39.5,39.5,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216061000,,1
399,12/16/2014 06:20:00 AM,0013a20040b315ec,1,501,20.3,20.3,20.3,94.2,94.2,94.2,41.2,41.2,41.2,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216062000,,1
406,12/16/2014 06:30:00 AM,0013a20040b315ec,1,501,19.7,19.7,19.7,94.5,94.5,94.5,41.7,41.7,41.7,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141216063000,,1
